,price,demand,emissions,date,time
0,254.3,26792,12287.250000000004,2022-02-11,00:00:00
1,233.71,25817,11883.631,2022-02-11,01:00:00
2,232.08,24690,10940.722,2022-02-11,02:00:00
3,222.96,24232,11452.998,2022-02-11,03:00:00
4,219.9,23537,12749.593,2022-02-11,04:00:00
5,225.95,23924,13056.601,2022-02-11,05:00:00
6,253.47,25099,14243.276000000002,2022-02-11,06:00:00
7,277.19,28751,17380.940000000002,2022-02-11,07:00:00
8,313.26,31931,18709.007999999998,2022-02-11,08:00:00
9,306.51,32841,20675.494000000002,2022-02-11,09:00:00
10,355.16,33328,21894.578,2022-02-11,10:00:00
11,335.57,32760,22396.937,2022-02-11,11:00:00
12,316.73,32211,23472.358000000004,2022-02-11,12:00:00
13,315.76,32043,23509.496000000003,2022-02-11,13:00:00
14,245.77,31292,22799.262,2022-02-11,14:00:00
15,244.02,30799,22183.012,2022-02-11,15:00:00
16,250.93,30441,20741.420000000002,2022-02-11,16:00:00
17,287.92,29939,19149.485,2022-02-11,17:00:00
18,384.75,29959,18221.333,2022-02-11,18:00:00
19,400.75,31932,18715.088,2022-02-11,19:00:00
20,375.36,33327,17105.925000000003,2022-02-11,20:00:00
21,368.8,33714,15832.738,2022-02-11,21:00:00
22,282.8,31375,14034.635,2022-02-11,22:00:00
23,274.21,29036,12672.25,2022-02-11,23:00:00
24,271.25,26893,12287.250000000004,2022-02-12,00:00:00
25,273.69,25828,11883.631,2022-02-12,01:00:00
26,270.4,24301,10940.722,2022-02-12,02:00:00
27,268.52,23048,11452.998,2022-02-12,03:00:00
28,265.0,22542,12749.593,2022-02-12,04:00:00
29,256.14,22480,13056.601,2022-02-12,05:00:00
30,260.54,22517,14243.276000000002,2022-02-12,06:00:00
31,268.56,23547,17380.940000000002,2022-02-12,07:00:00
32,270.24,24826,18709.007999999998,2022-02-12,08:00:00
33,265.81,26612,20675.494000000002,2022-02-12,09:00:00
34,253.59,28807,21894.578,2022-02-12,10:00:00
35,231.33,29208,22396.937,2022-02-12,11:00:00
36,226.58,29331,23472.358000000004,2022-02-12,12:00:00
37,215.34,28960,23509.496000000003,2022-02-12,13:00:00
38,212.51,29260,22799.262,2022-02-12,14:00:00
39,212.31,28022,22183.012,2022-02-12,15:00:00
40,220.33,26965,20741.420000000002,2022-02-12,16:00:00
41,249.78,26704,19149.485,2022-02-12,17:00:00
42,271.88,26757,18221.333,2022-02-12,18:00:00
43,292.88,28575,18715.088,2022-02-12,19:00:00
44,277.82,30464,17105.925000000003,2022-02-12,20:00:00
45,271.58,30876,15832.738,2022-02-12,21:00:00
46,258.46,29472,14034.635,2022-02-12,22:00:00
47,245.87,27242,12672.25,2022-02-12,23:00:00
48,278.3,25161,12287.250000000004,2022-02-13,00:00:00
49,277.96,23623,11883.631,2022-02-13,01:00:00
50,277.14,21998,10940.722,2022-02-13,02:00:00
51,251.82,21209,11452.998,2022-02-13,03:00:00
52,232.38,20460,12749.593,2022-02-13,04:00:00
53,232.54,20453,13056.601,2022-02-13,05:00:00
54,232.54,20604,14243.276000000002,2022-02-13,06:00:00
55,253.18,20948,17380.940000000002,2022-02-13,07:00:00
56,226.72,21545,18709.007999999998,2022-02-13,08:00:00
57,220.5,22817,20675.494000000002,2022-02-13,09:00:00
58,209.46,24783,21894.578,2022-02-13,10:00:00
59,192.64,25907,22396.937,2022-02-13,11:00:00
60,193.32,26280,23472.358000000004,2022-02-13,12:00:00
61,157.18,26304,23509.496000000003,2022-02-13,13:00:00
62,99.3,27185,22799.262,2022-02-13,14:00:00
63,126.88,25981,22183.012,2022-02-13,15:00:00
